ControlId,Titre,Description,Objectif,Procédure,ResultatAttendu,Severite,Remediation,ReferencePages,Type,Categorie,Commandes,Notes
2.9,S'assurer que la propriété 'Trustworthy' est désactivée (définie sur 'OFF'),L'option de base de données TRUSTWORTHY indique si SQL Server fait confiance au contenu de cette base de données spécifique.,Empêcher l'élévation de privilèges via l'exécution de modules de code s'exécutant dans un contexte de sécurité supérieur.,SELECT name FROM sys.databases WHERE is_trustworthy_on = 1 AND name != 'msdb';,Aucun enregistrement (autre que msdb) ne doit être retourné.,High,ALTER DATABASE [<database_name>] SET TRUSTWORTHY OFF;,p.38,configuration,Base de données,"SELECT name, is_trustworthy_on FROM sys.databases WHERE name != 'msdb';",Automated
2.10,S'assurer que les protocoles SQL Server inutilisés sont désactivés,"SQL Server prend en charge les protocoles de communication Shared Memory, Named Pipes et TCP/IP.",Minimiser les points d'entrée et réduire la surface d'exposition réseau.,Ouvrir SQL Server Configuration Manager et inspecter les protocoles sous 'SQL Server Network Configuration'.,Seuls les protocoles strictement nécessaires (généralement TCP/IP et Shared Memory pour l'accès local) sont activés.,Medium,Désactiver les protocoles inutilisés comme 'Named Pipes' via SQL Server Configuration Manager.,p.40,configuration,Réseau,,Manual
2.11,Configurer SQL Server pour utiliser des ports non-standards,"Par défaut, SQL Server écoute sur le port bien connu TCP 1433.",Atténuer les risques d'attaques automatisées de scan de ports ciblés et d'énumération réseau.,Rechercher la valeur de port configurée pour l'instance en interrogeant la base de registre.,Le port TCP actif ne doit pas être égal à 1433.,Low,"Dans SQL Server Configuration Manager, modifier les propriétés du protocole TCP/IP de l'instance pour assigner un port personnalisé (ex: 2433).",p.42,configuration,Réseau,SELECT value_data FROM sys.dm_server_registry WHERE value_name = 'TcpPort' OR value_name = 'TcpDynamicPorts';,Automated
2.12,S'assurer de masquer les instances SQL Server de production (option 'Hide Instance'),L'activation de cette option empêche le service SQL Server Browser de publier l'instance sur le réseau.,Empêcher la détection passive et l'énumération des instances actives par les clients réseau tiers.,Interroger le registre pour vérifier la valeur de la clé HideInstance.,La valeur HideInstance configurée doit être égale à 1 (Masqué).,Low,"Dans SQL Server Configuration Manager, accéder aux propriétés des protocoles de l'instance et définir 'Hide Instance' sur 'Yes'.",p.45,configuration,Réseau,"DECLARE @getValue INT; EXEC master.sys.xp_instance_regread @rootkey = N'HKEY_LOCAL_MACHINE', @key = N'SOFTWARE\Microsoft\Microsoft SQL Server\MSSQLServer\SuperSocketNetLib', @value_name = N'HideInstance', @value = @getValue OUTPUT; SELECT @getValue as HideInstance_Status;",Automated
2.13,S'assurer que le compte de connexion 'sa' est désactivé,Le compte 'sa' (System Administrator) est le compte d'administration historique de SQL Server.,Se prémunir contre les attaques de force brute ciblant cet utilisateur universel.,"SELECT name, is_disabled FROM sys.server_principals WHERE sid = 0x01 AND is_disabled = 0;","Aucun enregistrement ne doit être retourné (le compte sa doit être désactivé, is_disabled=1).",Critical,ALTER LOGIN sa DISABLE;,p.48,configuration,Identités et accès,"SELECT name, is_disabled FROM sys.server_principals WHERE sid = 0x01;",Automated
2.14,S'assurer que le compte de connexion 'sa' a été renommé,"Même désactivé, le compte 'sa' reste une cible privilégiée d'énumération.",Ajouter une couche d'obscurité en rendant son nom imprévisible.,SELECT name FROM sys.server_principals WHERE sid = 0x01 AND name = 'sa';,"Aucune ligne ne doit être retournée, signifiant que le sid 0x01 ne s'appelle plus 'sa'.",Medium,ALTER LOGIN sa WITH NAME = [nouveau_nom_admin_secret];,p.50,configuration,Identités et accès,SELECT name FROM sys.server_principals WHERE sid = 0x01;,Automated
2.15,S'assurer que la propriété AUTO_CLOSE est configurée sur OFF sur les bases de données autonomes (contained),"AUTO_CLOSE ferme la base après le départ du dernier utilisateur, ce qui impose d'instancier à nouveau les contextes d'accès.",Prévenir les goulots d'étranglement de performances et dénis de service applicatifs.,"SELECT name, containment, containment_desc, is_auto_close_on FROM sys.databases WHERE containment <> 0 and is_auto_close_on = 1;",Aucun résultat ne doit être retourné.,Low,ALTER DATABASE <nom_base> SET AUTO_CLOSE OFF;,p.52,configuration,Base de données,"SELECT name, is_auto_close_on FROM sys.databases WHERE containment <> 0;",Automated
2.16,S'assurer qu'aucun autre utilisateur n'est créé avec le nom 'sa',Certaines applications créent un faux utilisateur 'sa' si celui d'origine est manquant ou renommé.,Éviter la confusion administrative et l'introduction involontaire d'un compte cible fictif.,"SELECT principal_id, name FROM sys.server_principals WHERE name = 'sa';",Aucune ligne ne doit être retournée.,High,Exécuter l'instruction ALTER de renommage pour changer le nom de cet utilisateur importun.,p.54,configuration,Identités et accès,"SELECT principal_id, name FROM sys.server_principals WHERE name = 'sa';",Automated
2.17,S'assurer de l'activation du paramètre de sécurité 'clr strict security',Ce paramètre force le moteur à appliquer une vérification stricte de signature cryptographique sur tous les assemblys CLR.,"Bloquer l'exécution d'assemblys modifiés ou malveillants non signés, même s'ils sont déclarés comme SAFE.","SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'clr strict security';",Les deux valeurs de configuration et d'usage de la sécurité stricte CLR s'élèvent à 1 (Activé).,High,"EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'clr strict security', 1; RECONFIGURE; EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",p.56,configuration,Base de données,"SELECT name, value_configured, value_in_use FROM sys.configurations WHERE name = 'clr strict security';",Automated
3.1,S'assurer de la configuration exclusive du mode d'authentification Windows,Le mode d'authentification Windows s'appuie sur Active Directory ou les comptes locaux de l'OS.,Garantir une politique de mot de passe centralisée et robuste en évitant les comptes internes SQL Server.,SELECT SERVERPROPERTY('IsIntegratedSecurityOnly') as [login_mode];,Le paramètre login_mode doit renvoyer la valeur exacte 1 (Indique que seul Windows Authentication est actif).,High,"Dans SSMS, modifier les propriétés de sécurité de l'instance réseau pour forcer 'Windows Authentication Mode'. Nécessite de redémarrer le service.",p.59,configuration,Identités et accès,SELECT SERVERPROPERTY('IsIntegratedSecurityOnly') as [login_mode];,Automated
3.2,Révoquer systématiquement le droit CONNECT sur l'utilisateur 'guest' de toutes les bases de données,L'utilisateur fictif 'guest' permet à toute connexion valide sans utilisateur déclaré d'accéder à la base.,Éviter l'accès par rebond ou l'exploitation de privilèges anonymes sur des bases métier.,"SELECT DB_NAME() AS DatabaseName, 'guest' AS Database_User, [permission_name], [state_desc] FROM sys.database_permissions WHERE [grantee_principal_id] = DATABASE_PRINCIPAL_ID('guest') AND [state_desc] LIKE 'GRANT%' AND [permission_name] = 'CONNECT' AND DB_NAME() NOT IN ('master','tempdb','msdb');",Aucun résultat ne doit être retourné pour chaque base de données auditée.,High,USE [<database_name>]; GO REVOKE CONNECT FROM guest;,p.61,configuration,Identités et accès,"SELECT DB_NAME() AS DatabaseName, name FROM sys.database_principals WHERE name = 'guest';",Automated
3.3,S'assurer de la détection et de la suppression des utilisateurs orphelins (Orphaned Users),Un utilisateur est qualifié d'orphelin si son login SQL Server associé a été supprimé ou récréé avec un SID différent.,Nettoyer les comptes d'accès brisés pour prévenir toute tentative illégitime de réassociation et d'usurpation.,Identifier les utilisateurs de base de données n'ayant aucune correspondance de SID valide dans sys.syslogins.,Aucune ligne (utilisateur orphelin) ne doit figurer dans les résultats de la requête.,High,Exécuter l'instruction Transact-SQL pour associer l'utilisateur à un login actif ou supprimer l'utilisateur : `DROP USER <username>;`,p.63,configuration,Identités et accès,"SELECT name FROM sys.database_principals WHERE type_desc IN ('SQL_USER', 'WINDOWS_USER') AND sid NOT IN (SELECT sid FROM sys.server_principals);",Automated
3.8,S'assurer que seuls les privilèges d'origine par défaut sont alloués au rôle de serveur 'public',Le rôle serveur 'public' comprend par défaut tous les logins SQL Server.,Empêcher que l'attribution accidentelle de privilèges à 'public' n'octroie des accès massifs non contrôlés.,Vérifier la table des permissions système pour le groupe public.,Aucun droit d'accès réseau non standard (GRANT de type autre que VIEW ANY DATABASE ou CONNECT) n'est affecté.,High,USE [master]; GO REVOKE <permission_name> FROM public;,p.73,configuration,Identités et accès,SELECT * FROM master.sys.server_permissions WHERE grantee_principal_id = SUSER_SID(N'public') and state_desc LIKE 'GRANT%';,Automated
3.9,S'assurer de ne pas utiliser le groupe 'BUILTIN\Administrators' comme login SQL Server,"Historiquement, ce groupe de l'OSWindows héritait automatiquement des privilèges de sysadmin.",Éviter que des administrateurs Windows non formés à la sécurité des bases de données ne disposent d'un contrôle total automatique.,"SELECT pr.[name], pe.[permission_name] FROM sys.server_principals pr JOIN sys.server_permissions pe ON pr.principal_id = pe.grantee_principal_id WHERE pr.name like 'BUILTIN%';",Le groupe BUILTIN\Administrators ne doit pas figurer comme login SQL.,High,USE [master]; GO DROP LOGIN [BUILTIN\Administrators];,p.75,configuration,Identités et accès,SELECT name FROM sys.server_principals WHERE name like 'BUILTIN%';,Automated
3.12,Restreindre rigoureusement les privilèges d'administration du rôle 'SYSADMIN',Le rôle fixe de serveur 'sysadmin' possède un contrôle complet de l'instance SQL Server.,Limiter l'exposition aux attaques d'élévation en auditant les membres de ce groupe critique.,"SELECT distinct(name), type_desc FROM master.sys.server_principals a WHERE IS_SRVROLEMEMBER ('sysadmin', name) = 1 AND name NOT IN ('NT SERVICE\SQLWriter', 'NT SERVICE\Winmgmt', 'NT SERVICE\MSSQLSERVER', 'NT SERVICE\SQLSERVERAGENT');",Seuls les comptes de connexion administrateurs nominatifs autorisés y figurent.,High,ALTER SERVER ROLE sysadmin DROP MEMBER [<account>];,p.81,configuration,Identités et accès,"SELECT name FROM sys.server_principals WHERE IS_SRVROLEMEMBER('sysadmin', name) = 1;",Manual
4.1,S'assurer d'exiger la modification du mot de passe à l'initialisation (MUST_CHANGE),Force l'utilisateur à redéfinir un mot de passe personnel dès sa première connexion.,Prévenir la divulgation d'un mot de passe par défaut émis par l'administrateur système.,"SELECT name, CAST(LOGINPROPERTY(log.name, N'IsMustChange') AS bit) AS [MustChangePassword] FROM sys.server_principals AS log WHERE type = 'S' and CAST(LOGINPROPERTY(log.name, N'IsMustChange') AS bit) = 1;",Les nouveaux comptes SQL Server Authenticated doivent avoir cette contrainte activée.,High,ALTER LOGIN <login_name> WITH PASSWORD = '<nouveau_mot_de_passe>' MUST_CHANGE;,p.88,configuration,Identités et accès,"SELECT name, CAST(LOGINPROPERTY(name, 'IsMustChange') AS int) as IsMustChange FROM sys.sql_logins;",Manual
4.2,Activer la politique de vérification d'expiration de mot de passe (CHECK_EXPIRATION),Applique les règles d'expiration des mots de passe Windows de l'Active Directory aux utilisateurs SQL Server.,Forcer le renouvellement périodique des mots de passe complexes.,SELECT name FROM sys.sql_logins WHERE is_expiration_checked <> 1 AND is_disabled = 0;,Aucun login SQL actif (en particulier ceux dotés du privilège sysadmin) ne doit retourner is_expiration_checked=0.,High,ALTER LOGIN [<login_name>] WITH CHECK_EXPIRATION = ON;,p.91,configuration,Identités et accès,"SELECT name, is_expiration_checked FROM sys.sql_logins WHERE is_disabled = 0;",Automated
4.3,Activer la politique de validation de complexité de mot de passe (CHECK_POLICY),"CHECK_POLICY applique les règles de complexité Windows (longueur, caractères spéciaux) aux mots de passe SQL Server.",Prévenir l'usage de mots de passe triviaux vulnérables au dictionnaire.,SELECT name FROM sys.sql_logins WHERE is_policy_checked = 0 AND is_disabled = 0;,Aucun utilisateur actif ne doit avoir la valeur is_policy_checked à 0.,High,ALTER LOGIN [<login_name>] WITH CHECK_POLICY = ON;,p.94,configuration,Identités et accès,"SELECT name, is_policy_checked FROM sys.sql_logins WHERE is_disabled = 0;",Automated
5.1,Configurer le nombre maximal de fichiers journaux d'erreurs (Error Logs) sur une valeur >= 12, SQL Server recycle son fichier log d'erreur à chaque démarrage.,Empêcher la perte accidentelle ou délibérée d'historiques d'audit suite à des redémarrages fréquents.,Vérifier la valeur configurée dans le registre sous le paramètre NumErrorLogs.,Le paramètre NumErrorLogs doit être égal ou supérieur à 12 (ou -1 pour l'absence de limite).,Medium,"EXEC master.sys.xp_instance_regwrite N'HKEY_LOCAL_MACHINE', N'Software\Microsoft\MSSQLServer\MSSQLServer', N'NumErrorLogs', REG_DWORD, 12;",p.97,configuration,Audit,"DECLARE @NumErrorLogs int; EXEC master.sys.xp_instance_regread N'HKEY_LOCAL_MACHINE', N'Software\Microsoft\MSSQLServer\MSSQLServer', N'NumErrorLogs', @NumErrorLogs OUTPUT; SELECT ISNULL(@NumErrorLogs, -1) AS [NumberOfLogFiles];",Automated
5.2,S'assurer de l'activation permanente de la trace par défaut (Default Trace Enabled),"La trace par défaut enregistre automatiquement les modifications de schémas, élévations de privilèges et erreurs critiques.",Fournir un historique léger d'investigation post-incident.,"SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'default trace enabled';",La configuration active et enregistrée doit être égale à 1.,Medium,"EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'default trace enabled', 1; RECONFIGURE; EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",p.100,configuration,Audit,"SELECT name, value_configured, value_in_use FROM sys.configurations WHERE name = 'default trace enabled';",Automated
5.3,S'assurer que l'audit des connexions (Login Auditing) est configuré sur 'failed logins',Enregistre tous les échecs d'authentification client au sein du log d'erreur SQL Server.,Détecter les tentatives de balayage ou d'attaques par dictionnaire.,EXEC xp_loginconfig 'audit level';,La valeur retournée de l'option de configuration doit être 'failure' (ou 'all').,Medium,"EXEC xp_instance_regwrite N'HKEY_LOCAL_MACHINE', N'Software\Microsoft\MSSQLServer\MSSQLServer', N'AuditLevel', REG_DWORD, 2; -- Option 2 désigne les échecs uniquement",p.102,configuration,Audit,EXEC xp_loginconfig 'audit level';,Automated
5.4,S'assurer que SQL Server Audit est actif et configuré pour les connexions réussies et en échec,SQL Server Audit permet d'écrire de manière robuste les traces d'audit applicatives et administratives dans le journal d'événements OS ou de fichiers.,"Tracer avec précision toutes les sessions, les requêtes structurantes et les modifications de droits.",Vérifier la présence et l'activation des spécifications d'audit de serveur configurées avec les groupes d'actions requis.,"L'état de l'audit et de sa spécification doit être 'Y' (Actif), et capturer au minimum FAILED_LOGIN_GROUP, SUCCESSFUL_LOGIN_GROUP et AUDIT_CHANGE_GROUP.",High,Créer un objet d'audit de serveur et de spécification d'audit de serveur pour cibler les groupes d'événements puis activer l'audit.,p.104,configuration,Audit,"SELECT S.name AS 'Audit Name', S.is_state_enabled AS 'Audit Enabled', SA.name AS 'Specification Name', SA.is_state_enabled AS 'Spec Enabled' FROM sys.server_audits S JOIN sys.server_audit_specifications SA ON SA.audit_guid = S.audit_guid;",Automated
6.2,S'assurer que la permission des assemblys CLR est restreinte à 'SAFE_ACCESS',Les assemblys CLR de SQL Server ne doivent pas utiliser des ensembles de permissions risqués comme EXTERNAL_ACCESS ou UNSAFE.,"Empêcher le code CLR de lire des fichiers externes, d'accéder au réseau ou de manipuler l'espace mémoire non managé.","SELECT name, permission_set_desc FROM sys.assemblies WHERE is_user_defined = 1 AND permission_set > 1;",Aucune ligne (assembly utilisateur avec un niveau supérieur à SAFE_ACCESS) n'est retournée.,High,ALTER ASSEMBLY <assembly_name> WITH PERMISSION_SET = SAFE;,p.112,configuration,Applicatif,"SELECT name, permission_set_desc FROM sys.assemblies WHERE is_user_defined = 1;",Automated
7.1,Exiger des clés de chiffrement symétriques fortes (AES_128 ou supérieur) dans les bases non système,"Les algorithmes faibles de chiffrement tels que RC4, DES, Triple DES ou DESX ne doivent plus être exploités.",Protéger la confidentialité des données d'entreprise contre le cassage cryptographique rapide.,"SELECT db_name() AS Database_Name, name AS Key_Name, algorithm_desc FROM sys.symmetric_keys WHERE algorithm_desc NOT IN ('AES_128','AES_192','AES_256') AND db_id() > 4;",Aucune clé asymétrique obsolète n'est retournée.,High,Regénérer de nouvelles clés symétriques en remplaçant l'algorithme faible par AES_256 dans l'instruction DDL.,p.115,configuration,Base de données,"SELECT name, algorithm_desc FROM sys.symmetric_keys WHERE db_id() > 4;",Automated
7.2,Exiger une taille de clé asymétrique >= 2048 bits,Les clés asymétriques servant à sécuriser la hiérarchie de chiffrement doivent présenter une longueur suffisante.,Garantir la robustesse de l'infrastructure de chiffrement face aux puissances de calcul modernes.,"SELECT db_name() AS Database_Name, name AS Key_Name, key_length FROM sys.asymmetric_keys WHERE key_length < 2048 AND db_id() > 4;",Aucun enregistrement ne doit être retourné.,High,Recréer les clés asymétriques avec une spécification de taille de 2048 ou 4096 bits.,p.117,configuration,Base de données,"SELECT name, key_length FROM sys.asymmetric_keys WHERE db_id() > 4;",Automated
7.5,S'assurer que le chiffrement TDE (Transparent Data Encryption) est activé sur les bases de données métier,"TDE chiffre à chaud l'intégralité des fichiers physiques (.mdf, .ldf) et des fichiers de sauvegarde associés de la base de données.","Interdire la lecture des données sensibles d'entreprise en cas de vol de disques durs physiques, de supports de backup ou de snapshots de VM.","select database_id, name, is_encrypted from sys.databases where database_id > 4 and is_encrypted != 1;",Toutes les bases de données applicatives critiques doivent retourner is_encrypted = 1.,High,"Créer une clé maîtresse de base de données, un certificat serveur, puis exécuter : `CREATE DATABASE ENCRYPTION KEY ...` et `ALTER DATABASE <base> SET ENCRYPTION ON;`",p.123,configuration,Base de données,"select database_id, name, is_encrypted from sys.databases where database_id > 4;",Automated
